SeqID,gene_id
2019-MIN-0073,Stx2b_113_2019-MIN-0073|1236nt
2019-MIN-0073,Stx1a_19_AAAAYL020000128.1|1227nt
2019-MIN-0073,Stx1c_12_Z36901|1228nt
2021-MIN-0009,Stx2i_43_OLC3602|1242nt
2021-MIN-0038,Stx1a_9_AB035142|1227nt
2021-MIN-0039,Stx1a_9_AB035142|1227nt
2021-MIN-0027,Stx1a_9_AB035142|1227nt
2021-MIN-0027,Stx2a_1_X07865|1241nt
2018-SEQ-1351,Stx2b_88_EF441616|1242nt
2019-MER-0054,Stx2b_28_AB048224|1242nt
2026-TEST-0001,Stx1C_12_Z36901.1|1228nt
