Strain,SeqID,gene_id
CFIAFB20180611,2019-MIN-0073,Stx2b_113_2019_MIN_0073|1236nt
CFIAFB20180611,2019-MIN-0073,Stx1a_19_AAAAYL020000128.1|1227nt
CFIAFB20180611,2019-MIN-0073,Stx1c_12_Z36901|1228nt
CFIAFB20190239,2021-MIN-0009,Stx2i_43_OLC3602|1242nt
OLC0458,2021-MIN-0038,Stx1a_9_AB035142|1227nt
OLC0459,2021-MIN-0039,Stx1a_9_AB035142|1227nt
OLC0460,2021-MIN-0027,Stx1a_9_AB035142|1227nt
OLC0460,2021-MIN-0027,Stx2a_1_X07865|1241nt
OLC3464,2018-SEQ-1351,Stx2c_152_JUBT01000110.1|1241nt
OLC3483,2019-MER-0054,Stx1c_12_Z36901|1228nt
OLCMMC,2026-TEST-0001,Stx1d_12_Z36901.1|1228nt
